1,2,0,80,1,1,0
1,2,80,155,2,2,0
1,2,323,393,3,3,0
1,2,533,603.43,4,3,1
1,2,643,722.81,5,3,2
1,2,723,798,6,3,3
1,2,813,888,7,3,4
2,2,4,84,1,1,0
2,2,84,158.5,2,2,0
2,2,316,386,3,3,0
2,2,526,596,4,3,1
2,2,639,719,5,3,2
2,2,719,794.06,6,3,3
2,2,808.5,883.5,7,3,4
3,2,8,88,1,1,0
3,2,88,162,2,2,0
3,2,309,379,3,3,0
3,2,519,589,4,3,1
3,2,635,715,5,3,2
3,2,715,790.31,6,3,3
3,2,804,879,7,3,4
4,2,12,92,1,1,0
4,2,92,165.5,2,2,0
4,2,302,372,3,3,0
4,2,512,582,4,3,1
4,2,631,711,5,3,2
4,2,711,786.56,6,3,3
4,2,799.5,874.5,7,3,4
5,2,16,96,1,1,0
5,2,96,169,2,2,0
5,2,295,365,3,3,0
5,2,505,575,4,3,1
5,2,627,707,5,3,2
5,2,707,782.81,6,3,3
5,2,795,870,7,3,4
6,2,20,100,1,1,0
6,2,100,172.5,2,2,0
6,2,288,358,3,3,0
6,2,463,533,4,3,1
6,2,623,703,5,3,2
6,2,703,779.06,6,3,3
6,2,790.5,865.5,7,3,4
7,2,24,104,1,1,0
7,2,104,176,2,2,0
7,2,281,351,3,3,0
7,2,456,526,4,3,1
7,2,619,699,5,3,2
7,2,699,775.31,6,3,3
7,2,786,861,7,3,4
8,2,28,108,1,1,0
8,2,108,179.5,2,2,0
8,2,274,344,3,3,0
8,2,449,519,4,3,1
8,2,615,695,5,3,2
8,2,695,771.56,6,3,3
8,2,781.5,856.5,7,3,4
9,2,32,112,1,1,0
9,2,112,183,2,2,0
9,2,267,337,3,3,0
9,2,442,512,4,3,1
9,2,611,691,5,3,2
9,2,691,767.81,6,3,3
9,2,777,852,7,3,4
9,2,867,942,8,3,5
10,2,36,116,1,1,0
10,2,116,186.5,2,2,0
10,2,260,330,3,3,0
10,2,435,505,4,3,1
10,2,607,687,5,3,2
10,2,687,764.06,6,3,3
10,2,772.5,847.5,7,3,4
10,2,862.5,937.5,8,3,5
11,2,40,120,1,1,0
11,2,120,190,2,2,0
11,2,190,260,3,3,0
11,2,393,463,4,3,1
11,2,603,683,5,3,2
11,2,683,760.31,6,3,3
11,2,768,843,7,3,4
11,2,858,933,8,3,5
12,2,44,123.5,1,1,0
12,2,183,253,2,2,0
12,2,253,323,3,3,0
12,2,386,456,4,3,1
12,2,596,675.43,5,3,2
12,2,679,756.56,6,3,3
12,2,763.5,838.5,7,3,4
12,2,853.5,928.5,8,3,5
13,2,48,127,1,1,0
13,2,127,197,2,2,0
13,2,197,267,3,3,0
13,2,379,449,4,3,1
13,2,589,667.43,5,3,2
13,2,675,752.81,6,3,3
13,2,759,834,7,3,4
13,2,849,924,8,3,5
14,2,52,130.5,1,1,0
14,2,176,246,2,2,0
14,2,246,316,3,3,0
14,2,372,442,4,3,1
14,2,582,659.43,5,3,2
14,2,671,749.06,6,3,3
14,2,754.5,829.5,7,3,4
14,2,844.5,919.5,8,3,5
15,2,56,134,1,1,0
15,2,134,204,2,2,0
15,2,204,274,3,3,0
15,2,365,435,4,3,1
15,2,575,651.43,5,3,2
15,2,667,745.31,6,3,3
15,2,750,825,7,3,4
15,2,840,915,8,3,5
16,2,60,137.5,1,1,0
16,2,169,239,2,2,0
16,2,239,309,3,3,0
16,2,358,428,4,4,0
16,2,428,498,5,4,1
16,2,498,568,6,4,2
16,2,568,643.43,7,4,3
16,2,663,741.56,8,4,4
16,2,745.5,820.5,9,4,5
16,2,835.5,910.5,10,4,6
17,2,64,141,1,1,0
17,2,141,211,2,2,0
17,2,211,281,3,3,0
17,2,351,421,4,4,0
17,2,421,491,5,4,1
17,2,491,561,6,4,2
17,2,561,635.43,7,4,3
17,2,659,737.81,8,4,4
17,2,741,816,9,4,5
17,2,831,906,10,4,6
18,2,68,144.5,1,1,0
18,2,162,232,2,2,0
18,2,232,302,3,3,0
18,2,344,414,4,4,0
18,2,414,484,5,4,1
18,2,484,554,6,4,2
18,2,554,627.43,7,4,3
18,2,655,734.06,8,4,4
18,2,736.5,811.5,9,4,5
18,2,826.5,901.5,10,4,6
19,2,72,148,1,1,0
19,2,148,218,2,2,0
19,2,218,288,3,3,0
19,2,337,407,4,4,0
19,2,407,477,5,4,1
19,2,477,547,6,4,2
19,2,547,619.43,7,4,3
19,2,651,730.31,8,4,4
19,2,732,807,9,4,5
19,2,822,897,10,4,6
20,2,76,151.5,1,1,0
20,2,155,225,2,2,0
20,2,225,295,3,3,0
20,2,330,400,4,4,0
20,2,400,470,5,4,1
20,2,470,540,6,4,2
20,2,540,611.43,7,4,3
20,2,647,726.56,8,4,4
20,2,727.5,802.5,9,4,5
20,2,817.5,892.5,10,4,6
