3.6603e+07,3.0912e+07,3.1243e+07,2.6409e+07,2.339e+07,2.2633e+07,2.2068e+07,2.1006e+07
3.4651e+07,3.6555e+07,3.0871e+07,3.1202e+07,2.6374e+07,2.3359e+07,2.2603e+07,2.2039e+07
3.2915e+07,3.4639e+07,3.6542e+07,3.086e+07,3.1191e+07,2.6365e+07,2.3351e+07,2.2595e+07
3.6113e+07,3.2903e+07,3.4626e+07,3.6529e+07,3.0849e+07,3.1179e+07,2.6355e+07,2.3342e+07
4.9906e+07,3.6094e+07,3.2886e+07,3.4608e+07,3.651e+07,3.0833e+07,3.1163e+07,2.6341e+07
6.3828e+07,4.9871e+07,3.6069e+07,3.2863e+07,3.4584e+07,3.6484e+07,3.0811e+07,3.1141e+07
4.9735e+07,6.3774e+07,4.9829e+07,3.6039e+07,3.2835e+07,3.4555e+07,3.6453e+07,3.0785e+07
4.7484e+07,4.968e+07,6.3703e+07,4.9773e+07,3.5999e+07,3.2799e+07,3.4516e+07,3.6413e+07
5.7691e+07,4.7409e+07,4.9601e+07,6.3602e+07,4.9694e+07,3.5941e+07,3.2747e+07,3.4462e+07
6.0806e+07,5.7554e+07,4.7296e+07,4.9484e+07,6.3451e+07,4.9576e+07,3.5856e+07,3.2669e+07
5.0804e+07,6.0593e+07,5.7353e+07,4.7131e+07,4.931e+07,6.3229e+07,4.9403e+07,3.5731e+07
3.8081e+07,5.0526e+07,6.0261e+07,5.7038e+07,4.6872e+07,4.904e+07,6.2882e+07,4.9132e+07
3.8402e+07,3.7775e+07,5.012e+07,5.9776e+07,5.658e+07,4.6495e+07,4.8646e+07,6.2377e+07
2.7171e+07,3.7902e+07,3.7283e+07,4.9467e+07,5.8998e+07,5.5843e+07,4.589e+07,4.8012e+07
1.8251e+07,2.6593e+07,3.7096e+07,3.6491e+07,4.8415e+07,5.7744e+07,5.4656e+07,4.4915e+07
1.3982e+07,1.7575e+07,2.5609e+07,3.5723e+07,3.514e+07,4.6623e+07,5.5606e+07,5.2633e+07
9.1069e+06,1.3155e+07,1.6536e+07,2.4095e+07,3.3611e+07,3.3062e+07,4.3866e+07,5.2318e+07
4.3929e+06,8.2093e+06,1.1858e+07,1.4906e+07,2.172e+07,3.0298e+07,2.9804e+07,3.9543e+07
1.4457e+06,3.7492e+06,7.0064e+06,1.0121e+07,1.2722e+07,1.8537e+07,2.5858e+07,2.5436e+07
3.0319e+05,1.3717e+06,4.0051e+06,8.5878e+06,1.4549e+07,2.1161e+07,3.0804e+07,4.3953e+07
4.3606e+07,3.1597e+07,2.4743e+07,2.0414e+07,1.8012e+07,1.7461e+07,1.6911e+07,1.5983e+07
4.1117e+07,4.355e+07,3.1557e+07,2.4711e+07,2.0388e+07,1.7989e+07,1.7439e+07,1.689e+07
3.8261e+07,4.1108e+07,4.354e+07,3.1549e+07,2.4705e+07,2.0384e+07,1.7985e+07,1.7434e+07
3.9064e+07,3.8252e+07,4.1099e+07,4.3531e+07,3.1543e+07,2.47e+07,2.0379e+07,1.7981e+07
5.038e+07,3.9054e+07,3.8243e+07,4.1089e+07,4.352e+07,3.1535e+07,2.4694e+07,2.0374e+07
6.467e+07,5.0365e+07,3.9042e+07,3.8231e+07,4.1076e+07,4.3507e+07,3.1525e+07,2.4686e+07
5.1725e+07,6.4647e+07,5.0346e+07,3.9028e+07,3.8217e+07,4.1061e+07,4.3491e+07,3.1514e+07
4.9754e+07,5.1699e+07,6.4614e+07,5.0321e+07,3.9008e+07,3.8198e+07,4.104e+07,4.3469e+07
6.0016e+07,4.9719e+07,5.1662e+07,6.4568e+07,5.0285e+07,3.898e+07,3.8171e+07,4.1011e+07
6.3104e+07,5.9949e+07,4.9663e+07,5.1605e+07,6.4496e+07,5.0229e+07,3.8937e+07,3.8128e+07
5.3416e+07,6.2998e+07,5.9848e+07,4.958e+07,5.1518e+07,6.4388e+07,5.0144e+07,3.8871e+07
3.8889e+07,5.3266e+07,6.2821e+07,5.968e+07,4.944e+07,5.1373e+07,6.4207e+07,5.0003e+07
3.9734e+07,3.8722e+07,5.3037e+07,6.2551e+07,5.9424e+07,4.9228e+07,5.1152e+07,6.3931e+07
2.7682e+07,3.9437e+07,3.8432e+07,5.264e+07,6.2083e+07,5.8979e+07,4.8859e+07,5.0769e+07
1.8068e+07,2.732e+07,3.8922e+07,3.793e+07,5.1953e+07,6.1272e+07,5.8209e+07,4.8221e+07
1.2543e+07,1.7628e+07,2.6655e+07,3.7974e+07,3.7006e+07,5.0687e+07,5.978e+07,5.6791e+07
7.2281e+06,1.203e+07,1.6908e+07,2.5565e+07,3.6421e+07,3.5493e+07,4.8615e+07,5.7336e+07
2.8154e+06,6.6934e+06,1.114e+07,1.5657e+07,2.3674e+07,3.3727e+07,3.2867e+07,4.5018e+07
7.3266e+05,2.4908e+06,5.9217e+06,9.8558e+06,1.3852e+07,2.0944e+07,2.9838e+07,2.9078e+07
1.4147e+05,7.0785e+05,2.5785e+06,6.809e+06,1.3241e+07,2.1393e+07,3.3387e+07,4.977e+07
